DonorID,FirstName,LastName,Email,Phone,City,State,ZipCode,LastDonationDate,TotalGifts,TotalAmountDonated,EventParticipation,EngagementScore,Year,Month,Segment
D00001,Danielle,Anderson,tina69@salazar.com,(716)033-8417x8760,New Ethan,AK,9539,2024-09-03,10,8481.55,Yes,56,2024,9,Medium Value
D00002,Angel,Hart,garciatyler@gmail.com,(874)907-2648,West Ashleymouth,MS,49618,2022-05-06,5,14102.15,Yes,11,2022,5,Medium Value
D00003,Joshua,Stone,ywoods@gmail.com,105.039.1678x12883,East Stephanie,NJ,6600,2023-01-21,21,5140.38,No,26,2023,1,Low Value
D00004,Jeffrey,Welch,johnsonkimberly@ferguson.com,939.859.3082x278,South Andrewshire,SD,22434,2023-01-26,22,18555.04,Yes,92,2023,1,High Value
D00005,Jill,Vasquez,hughesnicholas@gmail.com,469-539-5369,Moorestad,DC,16142,2022-05-05,10,1325.93,No,27,2022,5,Low Value
D00006,Erica,White,hdunn@yahoo.com,232.072.4861x15623,Katherineton,ND,21826,2022-11-01,12,21316.52,No,83,2022,11,High Value
D00007,Patricia,Lynch,michael56@allen.org,6780194670,Aprilshire,NH,85934,2023-04-18,10,4970.95,No,57,2023,4,Low Value
D00008,Christopher,Erickson,robertgoodwin@bradley.com,412-804-4712,Lake Tammiemouth,KS,13873,2022-12-25,29,21862.46,No,27,2022,12,High Value
D00009,Robert,Krause,brownsamuel@williams-bailey.com,8362487485,Allenborough,AK,93306,2023-02-17,13,8826.18,Yes,59,2023,2,Medium Value
D00010,Anthony,Smith,catherinemendoza@gmail.com,(237)886-1732x7760,Petersonfurt,WY,54886,2024-08-12,11,18072.64,No,62,2024,8,High Value
D00011,Jeffery,Johnson,wrightamy@thornton-li.com,001-639-513-6899x065,West Mariahside,MN,95800,2022-07-07,22,7994.25,No,20,2022,7,Medium Value
D00012,William,Garrett,shelly84@hotmail.com,001-741-698-4366x33756,Laneville,CA,17633,2022-04-15,16,22649.67,No,3,2022,4,High Value
D00013,Anthony,Wilson,luis88@brown.org,001-184-535-7777x85929,New Brett,MN,1326,2024-11-07,8,3183.4,No,16,2024,11,Low Value
D00014,James,Charles,christian28@gmail.com,583-618-8374x489,Wandaside,PA,88728,2024-12-27,8,4479.42,Yes,44,2024,12,Low Value
D00015,Debra,Marsh,davidhardy@gmail.com,(396)042-4450,New Henry,IL,11566,2024-08-27,27,12335.89,No,93,2024,8,Medium Value
D00016,Amy,Duarte,hollysantos@benton-smith.com,(567)021-7829,East Michaelville,WV,55726,2024-10-16,25,2066.82,No,79,2024,10,Low Value
D00017,Jeffrey,Gutierrez,brianna41@gmail.com,988-161-0376x32940,Garciafurt,WY,76459,2022-11-20,8,4915.59,Yes,30,2022,11,Low Value
D00018,Bridget,Cook,ysimpson@yahoo.com,804.374.1269,Tracymouth,DC,50870,2024-03-21,13,23595.28,No,40,2024,3,High Value
D00019,Lisa,Castro,walkernicolas@hotmail.com,-1497,Heatherburgh,NC,85778,2023-05-19,27,24412.71,No,65,2023,5,High Value
D00020,Adam,Walsh,guerreroanthony@yahoo.com,+1-970-783-9313x294,New Alexandra,WV,59644,2025-01-31,2,9418.96,Yes,29,2025,1,Medium Value
D00021,Linda,Smith,sandra49@todd.org,2759425016,Piercemouth,ND,43951,2024-06-10,12,23083.68,Yes,30,2024,6,High Value
D00022,Helen,Harris,vpatton@gmail.com,(755)574-8632x810,North Rickyshire,AK,29480,2024-04-01,10,13629.72,No,32,2024,4,Medium Value
D00023,Matthew,Campbell,rfarley@garrison-hurley.info,+1-705-605-5738x41096,New Emily,KY,91553,2022-08-28,12,6758.17,No,10,2022,8,Low Value
D00024,Eric,Tyler,francisco67@hotmail.com,661615317,East Tara,MA,34919,2022-04-10,11,17565.92,No,91,2022,4,High Value
D00025,Susan,Parker,rebeccacampbell@tapia.net,(602)445-6979x1814,Garciashire,FL,33431,2025-01-18,15,16479.37,No,51,2025,1,High Value
D00026,Matthew,Hunter,ashley09@yahoo.com,369.757.5546,South Henrychester,NE,58276,2023-04-30,16,24728.35,No,8,2023,4,High Value
D00027,Christopher,Nguyen,donna90@gmail.com,6834260533,Jonesberg,MI,47850,2024-05-09,17,6640.88,No,51,2024,5,Low Value
D00028,Colin,Smith,mary27@yahoo.com,824.996.9660x81875,Paulfurt,MD,53589,2023-10-01,26,16808.05,No,36,2023,10,High Value
D00029,Melanie,Jennings,csmith@castillo-richard.com,804.140.3634x87451,Adkinsfort,TX,14709,2023-12-15,2,1319.55,No,55,2023,12,Low Value
D00030,Cassandra,Peterson,rileychristopher@hotmail.com,(619)379-0229,South Miguelport,MD,82395,2022-06-17,18,2858.88,Yes,35,2022,6,Low Value
D00031,Lindsay,Ramsey,alexanderjonathan@yahoo.com,094.431.2134,Laurenhaven,MA,43955,2023-12-07,12,117.88,No,36,2023,12,Low Value
D00032,Jessica,Gilbert,omartinez@gmail.com,001-557-999-0072x566,East Wesleyberg,MS,27906,2025-01-16,19,24986.53,No,56,2025,1,High Value
D00033,Amanda,Johnson,halldiamond@cohen.org,001-872-306-3657x83715,Brandonberg,OR,93148,2023-06-30,26,20060.8,Yes,36,2023,6,High Value
D00034,Teresa,Thompson,tranjeremy@hotmail.com,041-367-7767,North Christophershire,VT,11505,2023-11-12,23,19672.34,No,89,2023,11,High Value
D00035,Nicholas,Rivera,allen58@hotmail.com,+1-593-224-9673x719,East Jessica,CA,65683,2023-12-04,18,12752.96,No,84,2023,12,Medium Value
D00036,Andrea,Morgan,michaeljones@wilson-jones.com,(755)791-2094x54028,East Rachelfurt,ND,24867,2024-03-21,17,7515.68,No,61,2024,3,Medium Value
D00037,Maria,Chambers,maria61@hotmail.com,001-944-388-2697x694,Port Carmenville,WI,30055,2023-02-02,6,3798.58,No,62,2023,2,Low Value
D00038,Christine,Hendricks,douglas59@yahoo.com,366-748-8689,Tommyfurt,IA,50632,2022-08-11,25,7131.17,No,81,2022,8,Medium Value
D00039,Michelle,Robles,xmerritt@yahoo.com,001-690-878-6391,Ericville,NC,94088,2024-06-19,15,9411.76,No,87,2024,6,Medium Value
D00040,Barbara,Brewer,martinbradley@gmail.com,183-590-9490x4447,South Maxwell,NJ,95293,2024-07-04,3,18912.63,Yes,25,2024,7,High Value
D00041,Janet,Olson,lynchlindsey@baldwin.com,270-725-4452x786,Lake Joseph,NJ,11287,2022-09-25,6,13500.75,Yes,64,2022,9,Medium Value
D00042,Brandon,Burton,crivas@barber.com,095-472-8740,Jamiemouth,MS,36472,2024-10-22,3,1955.54,No,60,2024,10,Low Value
D00043,Jeremy,Mcclain,arianacuevas@kelley.net,519.391.4603x782,Burchside,NH,54682,2022-07-25,29,470.36,No,57,2022,7,Low Value
D00044,Keith,Herrera,hhopkins@stewart-lee.org,-9831,Jasmineton,NM,45307,2022-11-11,1,2576.26,Yes,95,2022,11,Low Value
D00045,Christopher,Rogers,marklloyd@yahoo.com,+1-587-770-7501x3993,Duranstad,NY,92754,2024-01-05,13,10274.26,Yes,70,2024,1,Medium Value
D00046,Jesse,Bowers,hedwards@allen.com,+1-256-797-4631x771,Joneshaven,NH,30429,2022-12-25,28,23331.16,No,99,2022,12,High Value
D00047,Craig,Gutierrez,ann15@washington.com,626.678.6163x38638,Katrinamouth,VT,70127,2022-10-03,21,15942.31,No,52,2022,10,High Value
D00048,Joshua,Newton,kimberlyrussell@wade.com,303-262-4986,West Samanthaland,GA,75726,2022-04-01,26,20049.61,No,56,2022,4,High Value
D00049,Cynthia,Conley,millerrobert@gmail.com,094-665-4977x0536,West Jamie,PA,19148,2023-05-02,14,11670.04,No,63,2023,5,Medium Value
D00050,Michael,Evans,rachelwalter@gmail.com,434-954-1217x6208,Hoganfort,AR,89541,2023-09-07,13,9054.42,No,68,2023,9,Medium Value
D00051,Mitchell,Hardy,barneskathy@conrad.com,+1-012-893-4828x0092,Hannahside,VT,2561,2022-11-09,27,2727.84,Yes,20,2022,11,Low Value
D00052,Jason,Stewart,vaughnveronica@gmail.com,5365045686,North Michellechester,NM,90269,2023-04-17,4,21900.81,No,54,2023,4,High Value
D00053,Joseph,Herrera,zgomez@hotmail.com,+1-690-019-2331x524,East Tony,SD,31182,2023-09-13,7,19583.34,Yes,1,2023,9,High Value
